row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60626-2021-21,60626.0,21,2021-05-23,2021-05-29,64.0,2268.0,8.0,1.0,49730
60626-2021-29,60626.0,29,2021-07-18,2021-07-24,72.0,1286.0,15.0,0.0,49730
60626-2021-3,60626.0,3,2021-01-17,2021-01-23,46.0,3898.0,91.0,3.0,49730
60626-2021-30,60626.0,30,2021-07-25,2021-07-31,73.0,1422.0,33.0,0.0,49730
60626-2021-31,60626.0,31,2021-08-01,2021-08-07,74.0,2281.0,42.0,0.0,49730
60633-2021-14,60633.0,14,2021-04-04,2021-04-10,57.0,317.0,26.0,0.0,12871
60633-2021-15,60633.0,15,2021-04-11,2021-04-17,58.0,297.0,17.0,0.0,12871
60612-2021-6,60612.0,6,2021-02-07,2021-02-13,49.0,2145.0,22.0,2.0,34311
60612-2021-7,60612.0,7,2021-02-14,2021-02-20,50.0,1722.0,20.0,1.0,34311
60613-2020-27,60613.0,27,2020-06-28,2020-07-04,17.0,987.0,27.0,0.0,50113
60613-2020-30,60613.0,30,2020-07-19,2020-07-25,20.0,966.0,28.0,0.0,50113
60613-2020-34,60613.0,34,2020-08-16,2020-08-22,24.0,1146.0,31.0,0.0,50113
60626-2021-32,60626.0,32,2021-08-08,2021-08-14,75.0,2591.0,46.0,0.0,49730
60626-2021-33,60626.0,33,2021-08-15,2021-08-21,76.0,2572.0,52.0,1.0,49730
60626-2021-34,60626.0,34,2021-08-22,2021-08-28,77.0,2273.0,52.0,0.0,49730
60626-2021-35,60626.0,35,2021-08-29,2021-09-04,78.0,2596.0,36.0,0.0,49730
60626-2021-36,60626.0,36,2021-09-05,2021-09-11,79.0,3002.0,71.0,1.0,49730
60626-2021-37,60626.0,37,2021-09-12,2021-09-18,80.0,2907.0,47.0,0.0,49730
60626-2021-44,60626.0,44,2021-10-31,2021-11-06,87.0,3672.0,41.0,0.0,49730
60626-2021-48,60626.0,48,2021-11-28,2021-12-04,91.0,4395.0,97.0,0.0,49730
60629-2021-20,60629.0,20,2021-05-16,2021-05-22,63.0,1929.0,81.0,1.0,111850
60633-2021-16,60633.0,16,2021-04-18,2021-04-24,59.0,257.0,7.0,0.0,12871
60633-2021-17,60633.0,17,2021-04-25,2021-05-01,60.0,260.0,19.0,0.0,12871
60633-2021-18,60633.0,18,2021-05-02,2021-05-08,61.0,352.0,13.0,0.0,12871
60626-2021-38,60626.0,38,2021-09-19,2021-09-25,81.0,2802.0,36.0,0.0,49730
60626-2021-39,60626.0,39,2021-09-26,2021-10-02,82.0,3124.0,41.0,1.0,49730
60626-2021-4,60626.0,4,2021-01-24,2021-01-30,47.0,3942.0,55.0,1.0,49730
60626-2021-40,60626.0,40,2021-10-03,2021-10-09,83.0,3633.0,35.0,1.0,49730
60626-2021-41,60626.0,41,2021-10-10,2021-10-16,84.0,3641.0,20.0,0.0,49730
60626-2021-43,60626.0,43,2021-10-24,2021-10-30,86.0,3331.0,30.0,1.0,49730
60626-2021-46,60626.0,46,2021-11-14,2021-11-20,89.0,3344.0,55.0,1.0,49730
60626-2021-49,60626.0,49,2021-12-05,2021-12-11,92.0,4298.0,91.0,1.0,49730
60626-2021-5,60626.0,5,2021-01-31,2021-02-06,48.0,3463.0,48.0,0.0,49730
60626-2021-50,60626.0,50,2021-12-12,2021-12-18,93.0,5139.0,209.0,1.0,49730
60626-2021-51,60626.0,51,2021-12-19,2021-12-25,94.0,5079.0,452.0,1.0,49730
60626-2021-6,60626.0,6,2021-02-07,2021-02-13,49.0,3400.0,36.0,1.0,49730
60633-2021-19,60633.0,19,2021-05-09,2021-05-15,62.0,295.0,8.0,1.0,12871
60633-2021-2,60633.0,2,2021-01-10,2021-01-16,45.0,330.0,35.0,1.0,12871
60633-2021-20,60633.0,20,2021-05-16,2021-05-22,63.0,301.0,15.0,0.0,12871
60633-2021-21,60633.0,21,2021-05-23,2021-05-29,64.0,199.0,2.0,0.0,12871
60633-2021-22,60633.0,22,2021-05-30,2021-06-05,65.0,143.0,6.0,0.0,12871
60633-2021-23,60633.0,23,2021-06-06,2021-06-12,66.0,175.0,4.0,0.0,12871
60633-2021-24,60633.0,24,2021-06-13,2021-06-19,67.0,123.0,5.0,0.0,12871
60613-2020-49,60613.0,49,2020-11-29,2020-12-05,39.0,2577.0,145.0,2.0,50113
60626-2021-7,60626.0,7,2021-02-14,2021-02-20,50.0,3196.0,26.0,1.0,49730
60626-2021-8,60626.0,8,2021-02-21,2021-02-27,51.0,3548.0,23.0,1.0,49730
60626-2021-9,60626.0,9,2021-02-28,2021-03-06,52.0,3502.0,46.0,0.0,49730
60628-2020-43,60628.0,43,2020-10-18,2020-10-24,33.0,1275.0,103.0,1.0,66724
60628-2020-45,60628.0,45,2020-11-01,2020-11-07,35.0,1528.0,235.0,2.0,66724
60628-2020-49,60628.0,49,2020-11-29,2020-12-05,39.0,1897.0,207.0,7.0,66724
60628-2020-50,60628.0,50,2020-12-06,2020-12-12,40.0,1898.0,168.0,10.0,66724
60628-2020-51,60628.0,51,2020-12-13,2020-12-19,41.0,1703.0,119.0,4.0,66724
